ID,TEXT
A3.1.4,provide up-to-date pci dss andor information security training at least annually to personnel with pci dss compliance responsibilities as identified in a...
A3.2.1,"document and confirm the accuracy of pci dss scope at least quarterly and upon significant changes to the in-scope environment. at a minimum, the quarterly scoping validation should include identifying all in-scope networks and system components identifying all out-of-scope networks and justification for networks being out of scope, including descriptions of all segmentation controls implemented identifying all connected entitiese.g., third-party entities with access to the cardholder data environment cdepci dss reference scope of pci dss requirements"
A3.2.2,"determine pci dss scope impact for all changes to systems or networks, including additions of new systems and new network connections. processes must include performing a formal pci dss impact assessment identifying applicable pci dss requirements to the system or network updating pci dss scope as appropriate documented sign-off of the results of the impact assessment by responsible personnel as defined in a..pci dss reference scope of pci dss requirements requirements -a requirements"
A3.2.2.1,"upon completion of a change, all relevant pci dss requirements must be verified on all new or changed systems and networks, and documentation must be updated as applicable. examples of pci dss requirements that should be verified include, but are not limited to network diagram is updated to reflect changes. systems are configured per configuration standards, with all default passwords changed and unnecessary services disabled. systems are protected with required controlse.g., file-integrity monitoring fim, anti-virus, patches, audit logging. verify that sensitive authentication data sad is not stored and that all cardholder data chd storage is documented and incorporated into data- retention policy and procedures new systems are included in the quarterly vulnerability scanning process.pci dss reference scope of pci dss requirements requirement -a requirements"
A3.2.3,"changes to organizational structure for example, a company merger or acquisition, change or reassignment of personnel with responsibility for security controlsresult in a formal internal review of the impact to pci dss scope and applicability of controls."
A3.2.4,"if segmentation is used, confirm pci dss scope by performing penetration testing on segmentation controls at least every six months and after any changes to segmentation controlsmethods."
A3.2.5,implement a data-discovery methodology to confirm pci dss scope and to locate all sources and locations of clear-text pan at least quarterly and upon significant changes to the cardholder environment or processes.
A3.2.5.1,"ensure effectiveness of methods used for data discoverye.g., methods must be able to discover clear-text pan on all types of system components for example, on each operating system or platform and file formats in use."
A3.2.5.2,"implement response procedures to be initiated upon the detection of clear-text pan outside of the cde to include procedures for determining what to do if clear-text pan is discovered outside of the cde, including its retrieval, secure deletion andor migration into the currently defined cde, as applicable procedures for determining how the data ended up outside of the cde procedures for remediating data leaks or process gaps that resulted in the data being outside of the cde procedures for identifying the source of the data procedures for identifying whether any track data is stored with the pans"
A3.2.6,"implement mechanisms for detecting and preventing clear-text pan from leaving the cde via an unauthorized channel, method, or process, including generation of audit logs and alerts."
A3.2.6.1,"implement response procedures to be initiated upon the detection of attempts to remove clear-text pan from the cde via an unauthorized channel, method, or process. response procedures must include procedures for the timely investigation of alerts by responsible personnel procedures for remediating data leaks or process gaps, as necessary, to prevent any data loss"
A3.3.1,"implement a process to immediately detect and alert on critical security control failures. examples of critical security controls include, but are not limited to firewalls idsips fim anti-virus physical access controls logical access controls audit logging mechanisms segmentation controls if usedpci dss reference requirements -a requirements"
A3.3.1.1,respond to failures of any critical security controls in a timely manner.
A3.3.2,"review hardware and software technologies at least annually to confirm whether they continue to meet the organizations pci dss requirements. for example, a review of technologies that are no longer supported by the vendor andor no longer meet the security needs of the organization."
A3.3.3,"perform reviews at least quarterly to verify bau activities are being followed. reviews must be performed by personnel assigned to the pci dss compliance program as identified in a.., and include the following confirmation that all bau activities e.g., a.., a.., and a.. are being performed confirmation that personnel are following security policies and operational procedures for example, daily log reviews, firewall rule-set reviews, configuration standards for new systems, etc. documenting how the reviews were completed, including how all bau activities were verified as being in place. collection of documented evidence as required for the annual pci dss assessment review and sign-off of results by personnel assigned responsibility for the pci dss compliance program as identified in a.. retention of records and documentation for at least months, covering all bau activitiespci dss reference requirements -a requirements"
A3.4,control and manage logical access to the cardholder data environment
A3.4.1,"review user accounts and access privileges to in-scope system components at least every six months to ensure user accounts and access remain appropriate based on job function, and authorized."
A3.5,identify and respond to suspicious events
A3.5.1,"implement a methodology for the timely identification of attack patterns and undesirable behavior across systemsfor example, using coordinated manual reviews andor centrally managed or automated log- correlation toolsto include at least the following identification of anomalies or suspicious activity as it occurs issuance of timely alerts upon detection of suspicious activity or anomaly to responsible personnel response to alerts in accordance with documented response procedurespci dss reference requirements ,"
